KODE KLASIFIKASI ARSIP,,,,
,,400.10.8,"Penerbitan Majalah,buletin,koran dan jurnal",
,,400.10.9,Publikasi melalui media cetak  maupun elektronik,
,,400.10.10,"Pameran /sayemara/lomba/festival,pembuatan spanduk dan iklan",
,,400.10.11,Penghargaan/tanda kenang-kenangan,
,,400.10.12,"Ucapan Terimakasih, Ucapan Selamat, Bela Sungkawa, Permohonan Maaf",
500,PEREKONOMIAN,,,
,500.1,PERTANIAN DAN PANGAN,,
,,500.1.1,Penyiapan perumusan kebijakan,
,,500.1.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.1.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.1.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.1.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.1.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.1.7,Harmonisasi pembangunan daerah di bidang pertanian dan pangan,
,500.2,PERINDUSTRIAN DAN PERDAGANGAN,,
,,500.2.1,Penyiapan perumusan kebijakan,
,,500.2.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum,",
,,500.2.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.2.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.2.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.2.6,Pemberian bimbingan teknis dan supervisi sinkronisasi serta harmonisasi pembangunan daerah di bidang perindustrian dan perdagangan,
,500.3,KOPERASI USAHA KECIL DAN MENENGAH DAN PENANAMAN MODAL,,
,,500.3.1,Penyiapan perumusan kebijakan,
,,500.3.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.3.3,"Pelaksanaan koordinasi dan fasilitasi sinkronisasi serta harmonisasi pembangunan daerah di bidang koperasi, usaha kecil dan menengah , dan penanaman modal ",
,,500.3.4,Penyusunan pemetaan urusan pemerintahan,
,,500.3.5,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.3.6,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.3.7,Pemberian bimbingan teknis dan supervisi sinkronisasi ,
,,500.3.8,"Harmonisasi pembangunan daerah di bidang koperasi, usaha kecil dan menengah, dan penanaman modal",
,500.4,KEHUTANAN,,
,,500.4.1,Penyiapan perumusan kebijakan,
,,500.4.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.4.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.4.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.4.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.4.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.4.7,Harmonisasi pembangunan daerah di bidang Kehutanan,
,500.5,KELAUTAN DAN PERIKANAN,,
,,500.5.1,Penyiapan perumusan kebijakan,
,,500.5.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.5.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.5.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.5.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.5.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.5.7,Harmonisasi pembangunan daerah di bidang Kelautan dan Perikanan,
,500.6,ENERGI DAN SUMBER DAYA MINERAL,,
,,500.6.1,Penyiapan perumusan kebijakan,
,,500.6.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.6.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.6.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.6.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.6.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.6.7,Harmonisasi pembangunan daerah di bidang Energi dan Sumber Daya Mineral,
,500.7,PERHUBUNGAN,,
,,500.7.1,Penyiapan perumusan kebijakan,
,,500.7.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.7.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.7.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.7.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.7.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.7.7,Harmonisasi pembangunan daerah di bidang Perhubungan,
,500.8,KOMUNIKASI DAN INFORMATIKA,,
,,500.8.1,Penyiapan perumusan kebijakan,
,,500.8.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.8.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.8.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.8.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.8.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.8.7,Harmonisasi pembangunan daerah di bidang Komunikasi dan Informatika,
,500.9,PARIWISATA,,
,,500.9.1,Penyiapan perumusan kebijakan,
,,500.9.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.9.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.9.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.9.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.9.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.9.7,Harmonisasi pembangunan daerah di bidang Pariwisata,
,500.10,STATISTIK DAN PERSANDIAN,,
,,500.10.1,Penyiapan perumusan kebijakan,
,,500.10.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.10.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.10.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.10.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.10.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.10.7,Harmonisasi pembangunan daerah di bidang Statistik dan Persandian,
,500.11,KETENAGAKERJAAN DAN TRANSMIGRASI,,
,,500.11.1,Penyiapan perumusan kebijakan,
,,500.11.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.11.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.11.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.11.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.11.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.11.7,Harmonisasi pembangunan daerah di bidang Ketenagakerjaan dan Transmigrasi,
,500.12,PERTANAHAN DAN PENATAAN RUANG,,
,,500.12.1,Penyiapan perumusan kebijakan,
,,500.12.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.12.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.12.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.12.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.12.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.12.7,Harmonisasi pembangunan daerah di bidang Pertanahan dan Penataan Ruang,
600,PEMBANGUNAN DAERAH ,,,
,600.1,PERUMUSAN KEBIJAKAN,,
,,600.1.1,Perumusan kebijakan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah,
,,600.1.2,perencanaan pembangunan daerah,
,,600.1.3,Sinkronisasi dan harmonisasi pembangunan daerah,
,,600.1.4,"Fasilitasi pengelolaan sistem informasi pembangunan daerah, dan partisipasi masyarakat",
,600.2,PELAKSANAAN KEBIJAKAN,,
,,600.2.1,"Pelaksanaan kebijakan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah,",
,,600.2.2,perencanaan pembangunan daerah,
,,600.2.3,"Sinkronisasi dan harmonisasi pembangunan daerah, dan partisipasi masyarakat",
,600.3,PELAKSANAAN PEMBINAAN UMUM DAN KOORDINASI,,
,,600.3.1,Pelaksanaan Pembinaan umum dan koordinasi Bidang Fasilitasi Penyelenggaraan Urusan Pemerintahan Daerah,
,,600.3.2,"Perencanaan pembangunan daerah,",
,,600.3.3,Sinkronisasi dan harmonisasi pembangunan daerah,
,,600.3.4,"Fasilitasi pengelolaan sistem informasi pembangunan daerah, dan partisipasi masyarakat",
,600.4,"PELAKSANAAN KOORDINASI DAN FASILITASI PENYUSUNAN NORMA, STANDAR, PROSEDUR, DAN KRITERIA SERTA STANDAR PELAYANAN MINIMAL PENYELENGGARAAN URUSAN PEMERINTAHAN ",,
,600.5,"PELAKSANAAN PEMANTAUAN, EVALUASI, DAN PELAPORAN ",,
,,600.5.1,"Pelaksanaan pemantauan, evaluasi, dan pelaporan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah",
,,600.5.2,Perencanaan pembangunan daerah,
,,600.5.3,Sinkronisasi dan harmonisasi pembangunan daerah ,
,,600.5.4,Pengelolaan sistem informasi pembangunan daerah dan partisipasi masyarakat,
,600.6,PEMBERIAN BIMBINGAN TEKNIS DAN SUPERVISI ,,
,,600.6.1,Pemberian bimbingan teknis dan supervisi di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah,
,,600.6.2,"Perencanaan pembangunan daerah,",
,,600.6.3,"Sinkronisasi dan harmonisasi pembangunan daerah,",
,,600.6.4,"Pengelolaan sistem informasi pembangunan daerah, dan partisipasi masyarakat; ",
,600.7,PELAKSANAAN ADMINISTRASI DIREKTORAT JENDERAL ,,
,600.8,PELAKSANAAN FUNGSI LAIN YANG DIBERIKAN OLEH MENTERI,,
,600.9,PEKERJAAN UMUM,,
,,600.9.1,Penyiapan perumusan kebijakan,
,,600.9.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,600.9.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,600.9.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,600.9.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,600.9.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,600.9.7,Harmonisasi pembangunan daerah di bidang Pekerjaan Umum,
,600.10,PERUMAHAN DAN KAWASAN PEMUKIMAN,,
,,600.10.1,Penyiapan perumusan kebijakan,
,,600.10.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,600.10.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,600.10.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,600.10.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,600.10.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,600.10.7,Harmonisasi pembangunan daerah di bidang Perumahan dan Kawasan Pemukiman,
,600.11,LINGKUNGAN HIDUP,,
,,600.11.1,Penyiapan perumusan kebijakan,
,,600.11.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,600.11.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,600.11.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,600.11.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,600.11.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,600.11.7,Harmonisasi pembangunan daerah di bidang Lingkungan Hidup,
700,PENGAWASAN,,,
,700.1,PENGAWASAN INTERNAL,,
,,700.1.1,Rencana Pengawasan,
,,,700.1.1.1,Rencana Strategis Pengawasan
,,,700.1.1.2,Rencana Kerja  Pengawas Tahunan
,,,700.1.1.3,Rencana Kinerja Tahunan
,,,700.1.1.4,Rencana dan Penetapan Kinerja Tahunan
,,,700.1.1.5,Rakor Pengawasan Tingkat Daerah
,,700.1.2,Pelaksanaan Pengawasan,
,,,700.1.2.1,"Laporan Hasil Audit (LHA),  Laporan Hasil Pemeriksaan (LHP), Laporan Hasil  Pemeriksaan Operasional (LHPO), Laporan Hasil Evaluasi (LHE), Laporan Akuntan (LA), Laporan Auditor Independen (LAI) yang memerlukan tindak lanjut (TL)"
,,,700.1.2.2,Laporan Hasil Audit Investigasi (LHAI) yang mengandung unsur Tindak Pidana Korupsi (TPK) dan memerlukan tindak lanjut
,,,700.1.2.3,Laporan Hasil Audit Investigasi (LHAI) yang mengandung unsur Tindak Pidana Korupsi (TPK) dan tidak memerlukan tindak lanjut
,,,700.1.2.4,Laporan Perkembangan Penanganan Surat Pengaduan Masyarakat
,,,700.1.2.5,Laporan Pemutakhiran Data Tindak Lanjut Temuan
,,,700.1.2.6,Laporan Perkembangan Barang Milik Negara
,,,700.1.2.7,Laporan Hasil Monitoring dan Evaluasi
,,,700.1.2.8,Laporan Kegiatan Pendampingan Penyusunan Laporan Keuangan dan Review
,,,700.1.2.9,Good Corporate Governance (GCG)
800,KEPEGAWAIAN,,,
,800.1,SUMBER DAYA MANUSIA,,
,,800.1.1,Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara,
,,800.1.2,Formasi dan Pengadaan Pegawai,
,,800.1.3,Mutasi Pegawai ,
,,,800.1.3.1,"Usulan Alih Status, Pindah Instansi, Pindah Wilayah Kerja, Diperbantukan, Dipekerjakan, Penugasan Sementara, Mutasi antar Perwakilan, Mutasi ke dan dari Perwakilan, Pemindahan Sementara, Persetujuan/Pertimbangan Kepala BKN"
,,,800.1.3.2,Kenaikan Pangkat/Golongan/Jabatan
,,,800.1.3.3,Pengangkatan dan Pemberhentian Jabatan Struktural/Fungsional
,,800.1.4,Pengembangan Karir,
,,,800.1.4.1,Usulan Tugas Belajar/ Ijin Belajar/ Diklat/ Kursus/ Magang/ Ujian Dinas/ Praktek Kerja di Instansi lain/ Pertukaran antar ASN dengan pegawai swasta
,,,800.1.4.2,Penyesuaian ijazah
,,,800.1.4.3,Penyusunan Sistem Karier
,,,800.1.4.4,Standar Kinerja Pegawai (SKP) dan Penilaian Prestasi Kerja
,,,800.1.4.5,"Angka Kredit Antara lain : Pengajuan Daftar Usul Pengajuan Angka Kredit, Penilaian Daftar Usul Pengajuan Angka Kredit"
,,800.1.5,Kinerja Aparatur Sipil Negara,
,,,800.1.5.1,Hasil Penilaian Kinerja dan Standar Kerja
,,,800.1.5.2,Pengelolaan Database dan Analisis Sistem Informasi Kinerja
,,,800.1.5.3,Evaluasi dan Pemantauan Penilaian Kinerja dan Standar Kinerja
,,800.1.6,"Kode Etik, Disiplin, Pemberhentian dan Pensiun ASN",
,,,800.1.6.6,"Pensiun ASN Antara lain : Administrasi Pensiun ASN, Penetapan Pensiun ASN, Penetapan Pertimbangan Teknis Pensiun ASN, Pensiun Pejabat Negara dan Janda/ Dudanya"
,,800.1.7,Bantuan Hukum,
,,800.1.8,Status dan Kedudukan Pegawai,
,,800.1.9,Sistem Informasi Kepegawaian,
,,800.1.10,Pengawasan dan pengendalian,
,,800.1.11,Administrasi Pegawai,
,,,800.1.11.1,Surat Perintah Dinas/Surat Tugas
,,,800.1.11.2,Cuti Sakit
,,,800.1.11.3,Cuti Bersalin
,,,800.1.11.4,Cuti Tahunan
,,,800.1.11.5,Cuti Alasan Penting
,,,800.1.11.6,Cuti Besar
,,,800.1.11.7,Cuti Di luar Tanggungan Negara
,,,800.1.11.8,Karpeg/KPE/Karis/Karsu
,,,800.1.11.9,Keanggotaan Organisasi Profesi/ Kedinasan
,,,800.1.11.13,"Pengurusan Kenaikan Gaji Berkala, Mutasi Gaji/ tunjangan"
,,800.1.12,Kesejahteraan Pegawai,
,,800.1.13,Administrasi Perseorangan,
,,,800.1.13.1,Pegawai Negeri Sipil (PNS)
,,,800.1.13.2,Pegawai Pemerintah dengan Perjanjian Kerja (PPPK)
,,800.1.14,Penilaian Kompetensi,
,800.2,PENDIDIKAN DAN PELATIHAN,,
,,800.2.1,Kebijakan di bidang Pendidikan dan Pelatihan yang dilakukan oleh Kementerian Dalam Negeri,
,,800.2.2,Pendidikan dan Pelatihan,
,,800.2.3,Widyaiswara,
,,800.2.4,Penyelenggaraan Diklat,
,,800.2.5,Alumni Diklat,
900,KEUANGAN,,,
,900.1,KEUANGAN DAERAH,,
,,900.1.1,Rencana Anggaran Pendapatan dan Belanja Daerah (RAPBD) dan Anggaran Pendapatan dan Belanja Daerah Perubahan(APBD-P),
,,900.1.2,Penyusunan Anggaran,
,,900.1.3,Pelaksanaan Anggaran,
,,900.1.4,Pinjaman/Hibah Luar Negeri,
,,900.1.5,Pengelolaan APBD/Dana Pinjaman/Hibah Luar Negeri (PHLN),
,,900.1.6,Sistem Akuntansi Keuangan Daerah (SAKD),
,,900.1.7,Penyaluran Anggaran Tugas Pembantuan,
,,900.1.8,Penerimaan Anggaran Tugas Pembantuan,
,,900.1.9,Pengelolaan Anggaran Pemilu,
,,900.1.10,Pelaksanaan Anggaran PILKADA dan Anggaran Biaya Bantuan Pemilu,
,,900.1.11,Pemeriksaan/Pengawasan Keuangan Daerah,
,,900.1.12,Anggaran Daerah,
,,900.1.13,Pendapatan dan Investasi Daerah,
,,900.1.14,Fasilitasi Dana Perimbangan,
,,900.1.15,Pelaksanaan Dan Pertanggungjawaban Keuangan Daerah,